# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
烝	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》平声 第十一部
烧	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》平声 第八部
焘	《平水韵》去声部 二十号、下平声部 四豪
焞	《平水韵》上平声部 十一真、上平声部 十三元、上平声部 十灰
焰	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
焱	《平水韵》去声部 二十九艳、入声部 入声十二锡
煎	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
煜	《平水韵》入声部 入声一屋、入声部 入声十四缉；《词林正韵》入声 第十七部、入声 第十五部
煦	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
煴	《平水韵》去声部 十三问、上平声部 十二文
煽	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部
熇	《平水韵》下平声部 二萧、入声部 入声一屋、入声部 入声二沃、入声部 入声十药
熏	《平水韵》去声部 十三问、上平声部 十二文；《词林正韵》平声 第六部
燋	《平水韵》下平声部 二萧、入声部 入声十药
燎	《平水韵》下平声部 二萧、上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
燕	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
燠	《平水韵》去声部 二十号、入声部 入声一屋、上声部 十九皓；《词林正韵》仄声 第八部
爁	《平水韵》去声部 二十九艳、去声部 二十八勘
爆	《平水韵》入声部 入声三觉、入声部 入声十药、去声部 十九效；《词林正韵》仄声 第八部
爝	《平水韵》入声部 入声十药、去声部 十八啸
爹	《平水韵》上声部 二十哿、下平声部 六麻；《词林正韵》仄声 第九部、平声 第十部
牡	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
牦	《平水韵》上平声部 四支、下平声部 四豪；《词林正韵》平声 第八部
牵	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
犍	《平水韵》下平声部 一先、上平声部 十三元、上声部 十三阮；《词林正韵》平声 第七部
犎	《平水韵》下平声部 七阳、上平声部 二冬
犛	《平水韵》下平声部 三肴、上平声部 四支
犦	《平水韵》入声部 入声二沃、去声部 十九效
犴	《平水韵》去声部 十五翰、上平声部 十四寒
犷	《平水韵》上声部 二十三梗、上声部 二十二养；《词林正韵》仄声 第二部、仄声 第十一部
犹	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》平声 第十二部
狃	《平水韵》上声部 二十五有、去声部 二十六宥
狙	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
狯	《平水韵》去声部 九泰、去声部 十卦
狰	《平水韵》上声部 二十三梗、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
狷	《平水韵》下平声部 一先、去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部、平声 第七部
狺	《平水韵》上平声部 十一真、上平声部 十二文
狿	《平水韵》下平声部 一先、去声部 十七霰
猃	《平水韵》去声部 二十九艳、上声部 二十八琰
猩	《平水韵》下平声部 九青、下平声部 八庚；《词林正韵》平声 第十一部
猪	《平水韵》上声部 五尾、上平声部 六鱼；《词林正韵》平声 第四部
猭	《平水韵》下平声部 一先、去声部 十七霰
献	《平水韵》下平声部 五歌、去声部 十四愿；《词林正韵》仄声 第七部
猲	《平水韵》入声部 入声七曷、入声部 入声六月
獠	《平水韵》下平声部 二萧、去声部 十八啸、上声部 十八巧；《词林正韵》仄声 第八部、平声 第八部
獥	《平水韵》入声部 入声十二锡、去声部 十八啸
獭	《平水韵》入声部 入声七曷、入声部 入声八黠；《词林正韵》入声 第十八部
率	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》入声 第十七部
王	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
玭	《平水韵》上平声部 八齐、上平声部 四支
玮	《平水韵》上声部 五尾、去声部 五未；《词林正韵》仄声 第三部
玷	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
玼	《平水韵》上平声部 四支、上声部 四纸
珙	《平水韵》上平声部 二冬、上声部 二肿
珥	《平水韵》去声部 四寘、上声部 四纸
琇	《平水韵》上声部 二十五有、去声部 二十六宥
琎	《平水韵》上平声部 十一真、去声部 十二震
琲	《平水韵》去声部 十一队、上声部 十贿
瑁	《平水韵》去声部 二十号、去声部 十一队；《词林正韵》仄声 第八部
瑊	《平水韵》下平声部 十二侵、下平声部 十五咸
瑑	《平水韵》去声部 十七霰、上声部 十六铣
瑗	《平水韵》去声部 十七霰、去声部 十四愿；《词林正韵》仄声 第七部
瑟	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》入声 第十七部
瑱	《平水韵》去声部 十七霰、去声部 十二震
瑳	《平水韵》上声部 二十哿、下平声部 五歌
瑾	《平水韵》上声部 十二吻、去声部 十二震；《词林正韵》仄声 第六部
瓒	《平水韵》去声部 十五翰、上声部 十四旱
瓠	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》仄声 第四部、平声 第四部
瓿	《平水韵》上平声部 七虞、上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部、平声 第十二部
甄	《平水韵》下平声部 一先、上平声部 十一真；《词林正韵》平声 第六部
甑	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部
甔	《平水韵》去声部 二十八勘、下平声部 十三覃
甗	《平水韵》去声部 十七霰、上平声部 十三元、上声部 十三阮、上声部 十六铣
甚	《平水韵》去声部 二十七沁、上声部 二十六寝；《词林正韵》仄声 第十三部
甸	《平水韵》去声部 二十五径、去声部 十七霰；《词林正韵》仄声 第七部
町	《平水韵》下平声部 九青、上声部 二十四迥；《词林正韵》平声 第十一部
画	《平水韵》入声部 入声十一陌、去声部 十卦；《词林正韵》入声 第十七部、仄声 第十部
畋	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
留	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》平声 第十二部
畛	《平水韵》上平声部 十一真、上声部 十一轸
畜	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
畤	《平水韵》去声部 四寘、上声部 四纸
番	《平水韵》下平声部 五歌、上平声部 十三元；《词林正韵》平声 第七部
畬	《平水韵》上平声部 六鱼、下平声部 六麻；《词林正韵》平声 第四部
畷	《平水韵》入声部 入声九屑、去声部 八霁
畹	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部
疋	《平水韵》上声部 二十一马、上平声部 六鱼
疏	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
疝	《平水韵》上平声部 十五删、去声部 十六谏；《词林正韵》平声 第七部
疽	《平水韵》上声部 六语、上平声部 六鱼；《词林正韵》平声 第四部
痁	《平水韵》去声部 二十九艳、下平声部 十四盐
痗	《平水韵》去声部 十一队、上声部 十贿
痱	《平水韵》上平声部 五微、去声部 五未、上声部 十贿
痸	《平水韵》入声部 入声九屑、去声部 八霁
痿	《平水韵》上声部 十贿、上平声部 四支
瘅	《平水韵》去声部 二十一个、上声部 二十哿、上平声部 十四寒；《词林正韵》平声 第七部
瘐	《平水韵》上平声部 七虞、上声部 七麌
瘕	《平水韵》上声部 二十一马、下平声部 六麻
瘤	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》平声 第十二部
瘥	《平水韵》下平声部 五歌、去声部 十卦；《词林正韵》平声 第九部
瘽	《平水韵》上平声部 十二文、去声部 十二震
瘿	《平水韵》上声部 二十三梗、下平声部 八庚；《词林正韵》仄声 第十一部
癣	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》仄声 第七部
皖	《平水韵》上声部 十五潸、上平声部 十四寒；《词林正韵》仄声 第七部
皭	《平水韵》入声部 入声十药、去声部 十八啸
皲	《平水韵》去声部 十三问、上平声部 十二文
盎	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
盐	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
监	《平水韵》去声部 三十陷、下平声部 十五咸；《词林正韵》平声 第十四部
盖	《平水韵》去声部 九泰、入声部 入声七曷、入声部 入声十五合；《词林正韵》仄声 第五部
盛	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
盟	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》平声 第十一部
盥	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
相	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
盾	《平水韵》上声部 十一轸、上声部 十三阮；《词林正韵》仄声 第六部
眄	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
眅	《平水韵》上平声部 十五删、上声部 十五潸
眈	《平水韵》上声部 二十七感、下平声部 十三覃；《词林正韵》平声 第十四部
眊	《平水韵》去声部 二十号、入声部 入声三觉、去声部 四寘
看	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
眙	《平水韵》去声部 四寘、上平声部 四支
眛	《平水韵》去声部 九泰、去声部 十一队
眢	《平水韵》上平声部 十三元、上平声部 十四寒
眦	《平水韵》去声部 八霁、去声部 四寘；《词林正韵》仄声 第三部
眯	《平水韵》上声部 八荠、上声部 四纸；《词林正韵》仄声 第三部
眴	《平水韵》上平声部 十一真、去声部 十七霰
睅	《平水韵》上声部 十五潸、上声部 十四旱
睊	《平水韵》下平声部 一先、去声部 十七霰
睒	《平水韵》去声部 二十八勘、上声部 二十八琰
睛	《平水韵》上声部 二十三梗、下平声部 八庚；《词林正韵》平声 第十一部
睢	《平水韵》去声部 四寘、上平声部 四支
睨	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
瞀	《平水韵》去声部 二十六宥、入声部 入声三觉、下平声部 十一尤
瞑	《平水韵》下平声部 九青、去声部 二十五径、去声部 十七霰；《词林正韵》平声 第十一部
瞠	《平水韵》下平声部 七阳、下平声部 八庚；《词林正韵》平声 第十一部
瞢	《平水韵》上平声部 一东、去声部 一送、下平声部 十蒸；《词林正韵》平声 第一部、平声 第十一部
瞪	《平水韵》去声部 二十五径、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
瞵	《平水韵》上平声部 十一真、去声部 十二震
瞷	《平水韵》上平声部 十一真、上平声部 十五删
瞿	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》平声 第四部
矫	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》仄声 第八部
砀	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部
砅	《平水韵》去声部 八霁、下平声部 十蒸
砉	《平水韵》入声部 入声十一陌、入声部 入声十二锡
研	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
砥	《平水韵》上声部 八荠、上平声部 四支、上声部 四纸
砭	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》仄声 第十四部、平声 第十四部
砮	《平水韵》上平声部 七虞、上声部 七麌
砻	《平水韵》上平声部 一东、去声部 一送；《词林正韵》平声 第一部
硗	《平水韵》下平声部 三肴、上声部 十七筱、去声部 十九效；《词林正韵》仄声 第八部
硞	《平水韵》入声部 入声三觉、入声部 入声二沃
硠	《平水韵》下平声部 七阳、上声部 二十二养
硪	《平水韵》上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部
碣	《平水韵》入声部 入声九屑、入声部 入声六月；《词林正韵》入声 第十八部
碬	《平水韵》下平声部 六麻、去声部 十五翰
磈	《平水韵》上声部 五尾、上声部 十贿
磋	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部
磕	《平水韵》去声部 九泰、入声部 入声七曷、入声部 入声十五合；《词林正韵》入声 第十九部、入声 第十八部
磨	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
磷	《平水韵》上平声部 十一真、去声部 十二震；《词林正韵》平声 第六部
礧	《平水韵》去声部 十一队、上声部 十贿
祊	《平水韵》下平声部 七阳、下平声部 八庚
祎	《平水韵》上平声部 五微、上平声部 四支
祓	《平水韵》入声部 入声五物、去声部 十一队
祖	《平水韵》上声部 七麌、下平声部 六麻；《词林正韵》仄声 第四部
祭	《平水韵》去声部 八霁、去声部 十卦；《词林正韵》仄声 第三部
祲	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》平声 第十三部
祷	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
禁	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》仄声 第十三部、平声 第十三部
禄	《平水韵》入声部 入声一屋、入声部 入声二沃；《词林正韵》入声 第十五部
禅	《平水韵》下平声部 一先、去声部 十七霰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
禔	《平水韵》上平声部 八齐、上平声部 四支
禜	《平水韵》去声部 二十四敬、下平声部 八庚
禺	《平水韵》上平声部 七虞、去声部 七遇、上平声部 二冬；《词林正韵》平声 第四部
离	《平水韵》去声部 八霁、去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
秅	《平水韵》去声部 七遇、下平声部 六麻
种	《平水韵》上平声部 一东、去声部 二宋、上声部 二肿；《词林正韵》仄声 第一部
秠	《平水韵》上平声部 四支、上声部 四纸
秣	《平水韵》入声部 入声七曷、去声部 十一队；《词林正韵》入声 第十八部
积	《平水韵》入声部 入声十一陌、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
称	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部
稌	《平水韵》上平声部 七虞、上声部 七麌
稍	《平水韵》下平声部 三肴、去声部 十九效、上声部 十八巧；《词林正韵》仄声 第八部
稹	《平水韵》上平声部 十一真、上声部 十一轸
穗	《平水韵》去声部 八霁、去声部 四寘；《词林正韵》仄声 第三部
穰	《平水韵》下平声部 七阳、上声部 二十二养
空	《平水韵》上平声部 一东、上声部 一董、去声部 一送；《词林正韵》仄声 第一部、平声 第一部
穿	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
窅	《平水韵》下平声部 三肴、上声部 十七筱
窊	《平水韵》去声部 二十二祃、下平声部 六麻
窌	《平水韵》下平声部 三肴、去声部 二十六宥、去声部 十九效
窘	《平水韵》上声部 十一轸、去声部 十三问；《词林正韵》仄声 第六部
窨	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》仄声 第十三部
窬	《平水韵》上平声部 七虞、去声部 二十六宥；《词林正韵》平声 第四部
窱	《平水韵》上声部 十七筱、去声部 十八啸
竁	《平水韵》去声部 八霁、去声部 十七霰
竣	《平水韵》下平声部 一先、上平声部 十一真
竭	《平水韵》入声部 入声九屑、入声部 入声六月；《词林正韵》入声 第十八部
笆	《平水韵》上声部 二十一马、下平声部 六麻；《词林正韵》平声 第十部
笈	《平水韵》入声部 入声十五合、入声部 入声十六叶、入声部 入声十四缉；《词林正韵》入声 第十七部、入声 第十八部
笊	《平水韵》去声部 十九效、上声部 十八巧
笓	《平水韵》上平声部 八齐、上平声部 四支
笢	《平水韵》上平声部 十一真、上声部 十一轸
笮	《平水韵》去声部 二十二祃、入声部 入声十药
笯	《平水韵》上平声部 七虞、去声部 七遇、下平声部 六麻
笲	《平水韵》上平声部 十三元、上声部 十三阮
笴	《平水韵》上声部 二十哿、上声部 十九皓、上声部 十四旱
笼	《平水韵》上平声部 一东、上声部 一董；《词林正韵》仄声 第一部、平声 第一部
筊	《平水韵》下平声部 三肴、上声部 十八巧
筏	《平水韵》入声部 入声六月、去声部 十一队；《词林正韵》入声 第十八部
箄	《平水韵》上平声部 四支、上声部 四纸
箑	《平水韵》入声部 入声十七洽、入声部 入声十六叶
算	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
箘	《平水韵》上平声部 十一真、上声部 十一轸
箾	《平水韵》下平声部 二萧、入声部 入声三觉
篑	《平水韵》去声部 十卦、去声部 四寘；《词林正韵》仄声 第三部、仄声 第五部
篓	《平水韵》上声部 七麌、上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部、仄声 第四部
篯	《平水韵》下平声部 一先、上声部 十六铣
篻	《平水韵》下平声部 二萧、上声部 十七筱
簁	《平水韵》上平声部 九佳、上声部 四纸
簪	《平水韵》下平声部 十三覃、下平声部 十二侵；《词林正韵》平声 第十三部、平声 第十四部
簸	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
簿	《平水韵》上声部 七麌、入声部 入声十药；《词林正韵》入声 第十六部、仄声 第四部
籍	《平水韵》入声部 入声十一陌；《词林正韵》入声 第十七部、仄声 第十部
类	《平水韵》去声部 十一队、去声部 四寘；《词林正韵》仄声 第三部
粝	《平水韵》去声部 九泰、入声部 入声七曷、去声部 八霁；《词林正韵》仄声 第三部
糈	《平水韵》上声部 六语、上平声部 六鱼
糒	《平水韵》去声部 十卦、去声部 四寘
糗	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
紟	《平水韵》去声部 二十七沁、下平声部 十二侵
索	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部、入声 第十六部
累	《平水韵》去声部 四寘、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部、平声 第三部
絇	《平水韵》上平声部 七虞、去声部 七遇
絧	《平水韵》上平声部 一东、去声部 一送
絯	《平水韵》上声部 九蟹、上平声部 十灰
綅	《平水韵》下平声部 十二侵、下平声部 十四盐
緉	《平水韵》去声部 二十三漾、上声部 二十二养
緺	《平水韵》上平声部 九佳、下平声部 五歌、下平声部 六麻
縜	《平水韵》上平声部 十一真、上平声部 十二文
繁	《平水韵》上平声部 十三元、上平声部 十四寒；《词林正韵》平声 第七部
繄	《平水韵》去声部 八霁、上平声部 八齐
繇	《平水韵》去声部 二十六宥、下平声部 二萧、下平声部 十一尤
纚	《平水韵》上声部 九蟹、上平声部 四支、上声部 四纸
纛	《平水韵》去声部 二十号、入声部 入声二沃、上声部 十九皓；《词林正韵》仄声 第八部、入声 第十五部
纠	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部、平声 第十二部
纡	《平水韵》上平声部 七虞、去声部 五未；《词林正韵》平声 第四部
约	《平水韵》入声部 入声十药、去声部 十八啸；《词林正韵》入声 第十六部
纬	《平水韵》上声部 五尾、去声部 五未；《词林正韵》仄声 第三部
纯	《平水韵》下平声部 一先、上平声部 十一真、上声部 十一轸、上平声部 十三元；《词林正韵》平声 第六部
纴	《平水韵》去声部 二十七沁、下平声部 十二侵
纵	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部、平声 第一部
纶	《平水韵》上平声部 十一真、上平声部 十五删；《词林正韵》平声 第七部、平声 第六部
纾	《平水韵》上声部 六语、上平声部 六鱼；《词林正韵》平声 第四部
织	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》入声 第十七部
经	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》平声 第十一部
绕	《平水韵》上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
绘	《平水韵》去声部 九泰、下平声部 十蒸；《词林正韵》仄声 第三部
绞	《平水韵》去声部 十九效、上声部 十八巧；《词林正韵》仄声 第八部
维	《平水韵》去声部 二十七沁、上平声部 四支；《词林正韵》平声 第三部
绶	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
绸	《平水韵》下平声部 十一尤、下平声部 四豪；《词林正韵》平声 第十二部
绻	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部
绽	《平水韵》去声部 十七霰、去声部 十六谏；《词林正韵》仄声 第七部
绾	《平水韵》上声部 十五潸、去声部 十六谏；《词林正韵》仄声 第七部
缀	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部、入声 第十八部
缇	《平水韵》上声部 八荠、上平声部 八齐
缊	《平水韵》上平声部 十三元、去声部 十三问、上声部 十二吻、上平声部 十二文
缎	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
缏	《平水韵》下平声部 一先、上声部 十六铣
缔	《平水韵》去声部 八霁、上平声部 八齐；《词林正韵》仄声 第三部
缗	《平水韵》下平声部 一先、上平声部 十一真
缘	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
缚	《平水韵》去声部 二十一个、入声部 入声十药；《词林正韵》仄声 第九部、入声 第十六部
缜	《平水韵》上平声部 十一真、上声部 十一轸；《词林正韵》仄声 第六部
缝	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部、平声 第一部
缟	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
缠	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
缦	《平水韵》去声部 十五翰、去声部 十六谏；《词林正韵》仄声 第七部
缪	《平水韵》去声部 二十六宥、入声部 入声一屋、下平声部 十一尤；《词林正韵》平声 第十二部
缫	《平水韵》上声部 十九皓、下平声部 四豪；《词林正韵》平声 第八部
缭	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》仄声 第八部、平声 第八部
缱	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
缴	《平水韵》入声部 入声十药、上声部 十七筱；《词林正韵》仄声 第八部、入声 第十六部
缶	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
罝	《平水韵》上平声部 六鱼、下平声部 六麻
罞	《平水韵》上平声部 一东、下平声部 三肴
罢	《平水韵》上声部 九蟹、去声部 二十二祃、上平声部 四支；《词林正韵》仄声 第十部
罦	《平水韵》上平声部 七虞、下平声部 十一尤
罧	《平水韵》去声部 二十七沁、上声部 二十六寝
羱	《平水韵》上平声部 十三元、上平声部 十四寒
羼	《平水韵》上声部 十五潸、去声部 十六谏；《词林正韵》仄声 第七部
翛	《平水韵》下平声部 二萧、入声部 入声一屋
翟	《平水韵》入声部 入声十一陌、入声部 入声十二锡；《词林正韵》入声 第十七部
翯	《平水韵》入声部 入声三觉、入声部 入声二沃
翰	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
翿	《平水韵》去声部 二十号、下平声部 四豪
耋	《平水韵》入声部 入声九屑、入声部 入声四质；《词林正韵》入声 第十七部、入声 第十八部
耒	《平水韵》去声部 十一队、上声部 四纸；《词林正韵》仄声 第三部
耔	《平水韵》上平声部 四支、上声部 四纸
耻	《平水韵》入声部 入声八黠、上声部 四纸；《词林正韵》仄声 第三部
联	《平水韵》下平声部 一先；《词林正韵》仄声 第七部、平声 第七部
聚	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
肉	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
肸	《平水韵》入声部 入声五物、入声部 入声四质
胁	《平水韵》去声部 二十九艳、入声部 入声十七洽、入声部 入声十五合；《词林正韵》入声 第十九部
胔	《平水韵》去声部 四寘、上平声部 四支
胖	《平水韵》去声部 十五翰、上平声部 十四寒
胜	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部
胠	《平水韵》入声部 入声十五合、去声部 六御、上平声部 六鱼
胫	《平水韵》去声部 二十五径、上声部 二十四迥；《词林正韵》仄声 第十一部
胯	《平水韵》去声部 七遇、去声部 二十二祃、下平声部 六麻；《词林正韵》仄声 第十部、平声 第十部
胶	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》平声 第八部
能	《平水韵》上平声部 十灰、下平声部 十蒸；《词林正韵》平声 第十一部
脁	《平水韵》下平声部 二萧、上声部 十七筱、去声部 十八啸
脏	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
脘	《平水韵》上平声部 十四寒、上声部 十四旱
脢	《平水韵》去声部 十一队、上平声部 十灰
腄	《平水韵》去声部 四寘、上平声部 四支
腊	《平水韵》入声部 入声十一陌、入声部 入声十五合；《词林正韵》入声 第十九部
腌	《平水韵》入声部 入声十五合、下平声部 十四盐；《词林正韵》平声 第十四部
腯	《平水韵》入声部 入声六月、上声部 十三阮、去声部 十四愿
膏	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》平声 第八部
膘	《平水韵》下平声部 二萧、上声部 十七筱
膜	《平水韵》上平声部 七虞、入声部 入声十药；《词林正韵》入声 第十六部
膮	《平水韵》下平声部 二萧、上声部 十七筱
膳	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
膴	《平水韵》上平声部 七虞、上声部 七麌
臑	《平水韵》上平声部 七虞、下平声部 四豪
臡	《平水韵》下平声部 五歌、上平声部 八齐
臭	《平水韵》去声部 二十六宥、入声部 入声十二锡；《词林正韵》仄声 第十二部
臼	《平水韵》上声部 二十五有、入声部 入声二沃；《词林正韵》仄声 第十二部
舍	《平水韵》上声部 二十一马、去声部 二十二祃；《词林正韵》仄声 第十部
般	《平水韵》上平声部 十五删、上平声部 十四寒；《词林正韵》平声 第七部
艒	《平水韵》去声部 二十号、入声部 入声十三职
艖	《平水韵》下平声部 五歌、下平声部 六麻
艟	《平水韵》上平声部 一东、去声部 三绛
艴	《平水韵》入声部 入声五物、入声部 入声六月
芊	《平水韵》下平声部 一先、上声部 四纸；《词林正韵》平声 第七部
芋	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》仄声 第四部
花	《平水韵》下平声部 六麻、上声部 四纸；《词林正韵》平声 第十部
芼	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
苍	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》平声 第二部
若	《平水韵》上声部 二十一马、入声部 入声十药；《词林正韵》入声 第十六部
